NEXT YEAR (2021-2022) I (or my student) will be in ___ grade.,What school will you be at in 2021-2022?,What district is your school in?,Meetings are Mondays and Wednesdays during these blocks of time. Please select which one you prefer. [Session 1 (June 14-July 2)],Meetings are Mondays and Wednesdays during these blocks of time. Please select which one you prefer. [Session 2 (July 12-July 30)]
12th,Edison High School,Huntington Beach Union High School District,First Preference,Second Preference
11th,Ayala,San Bernandino,First Preference,Second Preference
9th,Liberty High School,Perris High School District,First Preference,Second Preference
9th,Eastvale STEM Academy,Corona-Norco,First Preference,Cannot attend
9th,Grand Terrace high school ,Colton joint Unified ,First Preference,Second Preference
12th,Nogales High School,Rowland Unified,Cannot attend,First Preference
12th,Riverside Stem Academy,RUSD,First Preference,Second Preference
9th,Ruben S. Ayala High  school,Chino Valley ,First Preference,Second Preference
12th,Cypress High School,Anaheim Union High School District,First Preference,Second Preference
9th,Chino Hills High school ,Chino Valley ,Cannot attend,First Preference
8th,Canyon Hills ,San Bernardino,First Preference,Second Preference
8th,Gage Middle School,Riverside Unified School District ,Second Preference,First Preference
12th,West High School,TUSD,First Preference,Cannot attend
