How old are you?,To what gender do you most identify?,What school are you from?,"In what grade will you be this Fall? (If you are homeschooled, please approximate.)",What related experience do you have? (Note no experience is necessary or expected.),What programming languages have you tried? (Note no experience is necessary or expected.),How good at Language Arts are you?,How important to you is doing well in Language Arts?,How much effort do you put into Language Arts?,How good at Math are you?,How important to you is doing well in Math?,How much effort do you put into Math?,How good at Science are you?,How important to you is doing well in Science?,How much effort do you put into Science?,How good at Social Science are you?,How important to you is doing well in Social Science?,How much effort do you put into Social Science?,How much influence would you say your parents or guardians have in your performance at school?,How much encouragement would you say your parents or guardians give to perform well at school?,How did you hear about the Data Science Academy?,What preparation do you feel you have coming into the academy?,How prepared for college do you feel in general?,Are you planning to enter the workforce or get a full time job in the next year?,How prepared for the workforce do you feel?,Do you hope to go to college?,How prepared for college do you feel in terms of education?,Have you visited UCR before?,Are you considering attending UCR?,"In one year from now, where do you imagine yourself in terms of your education or work plans? e.g., still in HS, in college, in a job, what job, be as specific as possible.",Are finances a major concern or factor in deciding your future plans?,Are you interested in receiving scholarship or other financial support for college or workforce entry?,"When you think of social determinants of health, what comes to mind?","When you think of homelessness, what comes to mind?",How much data analysis have you done regarding social determinants of health and homelessness?,"Would you be interested in one of UCR's other Summer Camp style program (Robotic, Coding Camp)?",What do you look forward to from the Data Science Academy?,"If so, what would you study in college?","How would you rate your proficiency with coding? (If unsure, select 1. No proficiency expected or required.)",What do you think the difference is between Data Science and Computer Science?,"How would you rate your proficiency with data analysis? (If unsure, select 1. No proficiency expected or required.)",How much of a hard worker are you?,How much time do you spend on school on a weekday?,How much time do you spend on school on a weekend?,How confident are you with programming?,"How familiar are you with variables, functions, and loops?",Are you familiar with Python ,How many lines of Python code have you written in your life?,How important is it to your parents or guardians that you do well in Language Arts?,How important is it to your parents or guardians that you do well in Math?,How important is it to you to do well in this summer camp?,How important is it to your parents or guardians that you do well in Science?,How important is it to your parents or guardians that you do well in Social Studies?,With which race(s) and ethnicity do you identify? (You may select more than one.),In what city is your school located?,How much time have you spent programming?,How many lines of code have you written?,"If so I, would you consider UCR for college?","Any final comments, concerns or suggestions?",How much do you feel you know about social determinants of health?,"How much do you feel you know about homeless data (e.g., demographics, social programs, barriers)?",,,How many lines of Python code have you written in your life?
13,Female,Mission Vista Academy,8th grade,Statistics,,5,5,5,4,5,5,5,5,5,5,4,4,5,5,Parent or guardian,,4,Not sure,3,Yes,3,Yes,Not sure,"High school level ELA and Science, 8th grade level math.",2,Maybe,"Finances, jobs and environmental health.",Homeless people and Governor Newsom,2,Maybe,Understanding more about how to interpret numbers and find patterns.,"Biology, engineering, and writing",1,Data science is gaining information from numbers and computer science is more how to code programs.,2,5,4 to 5 hours,less than 1 hour,1,2,,,5,5,5,5,5,American,Riverside,1,1,Not sure,No,2,2,,,
15,Female,Chino Hills High School ,11th grade,Data Analytics,None,4,5,4,3,4,5,2,5,4,5,5,5,5,5,Social Media,,2,No,3,Yes,3,No,,"In one year from now, I see myself developing a better work ethic in high school as well as drafting and planning out college essays, visiting campuses, and deciding on a major that I was to study in university. I also see myself gaining experience with internships as well as working a summer job.",5,Yes,Social factors such as the environment and their impact on an individuals physical well-being.,I think of an ongoing and increasing issue in our country and society; something that needs awareness and change.,2,Maybe,I look forward to gaining experience and exposure to data science and familiarizing myself with this field.,Considering business ,1,Data science is more relative to statistic analysis while computer science is more relative to coding and programming?,3,4,2 to 3 hours,4 to 5 hours,2,1,,,5,5,5,5,4,Asian,Chino Hills,1,1,Yes,,2,3,,,
16,Male,West High School,12th grade,"Some coding (computer programming), Some web development (HTML/CSS), Pre-calculus","Python, Scratch (or other visual language)",4,5,5,5,5,4,5,5,4,4,3,3,4,4,Classroom or Teacher or Principal,,4,No,4,Yes,5,No,Yes,A 12th grade student in High School,4,Yes,"I think of a healthy body, a stable financial situation, and a positive living/work environment. ",Sad people with poor living conditions in the middle of an urban city.,3,Yes,"I look forward to learning new practical knowledge and experience about a field I may later pursue. In addition, I also looks forward to increasing my connections with other professors and students that participate in the program.",Data Science,4,"While computer science solely focuses on computers, data science works with math/statistics and computer programs to analyze large amount of data. ",3,5,3 to 4 hours,3 to 4 hours,4,5,,,4,5,5,5,4,Asian,Torrance,3,4,Yes,I can't wait until our first meeting!,4,3,,,
17,Female,Arlington high school,12th grade,"Statistics, Pre-calculus, Calculus (any level)",,3,5,5,4,5,5,4,5,5,3,4,5,5,5,"Online, Social Media",,2,Not sure,3,Yes,3,Yes,Yes,"One year from now, I see myself graduating high school, getting into my dream university, and studying biology. I will start a part-time job at my university so I could be able to afford my college expenses. Get into clubs that I'm interested in so I could be involved in my school. ",4,Yes,I believe it is the health conditions of an individual and/or groups ,I believe it's the lack of housing Opportunities for individuals.,2,Yes,I am looking forward to learning new experiences and meet new people while being part of this academy. ,Biology,1,I believe data science is more mathematics-based and statistics. Computer science is based on computers and theory. ,1,5,More than 5 hours,2 to 3 hours,1,2,,,5,5,5,5,5,Middle Eastern ,Riverside,1,1,Yes,No thank you ,2,3,,,
14,Male,Riverside STEM Academy,9th grade,"Some coding (computer programming), Some web development (HTML/CSS), Pre-calculus",Python,2,3,4,4,4,4,4,4,5,3,2,3,4,4,"Parent or guardian, Classmate or Friend",,3,No,3,Yes,3,Yes,Not sure,From one year from now I imagine myself still attending highschool.,3,Yes,Health care,People who are less fortunate than us.,2,Maybe,Learning more about data science.,Law,2,Data science focuses on collecting and interpreting data while computer science focuses on studying computers.,2,4,2 to 3 hours,1 to 2 hours,2,2,,,4,4,4,4,4,Asian,Riverside,1,3,Yes,,1,1,,,
14,Male,Ruben S. Ayala High School,9th grade,"Some coding (computer programming), Some web development (HTML/CSS)",Python,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Parent or guardian,,4,Yes,3,Yes,5,No,Not sure,HS,2,Yes,Depression,A person who is not in a great financial state and has no home.,1,Maybe,I am looking forward to learning about Data Science and the skills associated with it.,,2,"Data Science usually deals with statistics, coding, analytics, and math. It is the science of processing data. Meanwhile, computer science deals with coding and software.",1,4,2 to 3 hours,4 to 5 hours,1,2,,,5,5,5,5,5,A race or ethnicity not listed here,Chino Hills,2,3,Not sure,none,4,4,,,
14,Female,Polytechnic High school ,10th grade,"Other advanced math (Linear Algebra, Differential Equations, Combinatorics)",,4,5,3,5,5,5,3,5,5,5,5,5,5,5,"Riverside Unified advertisement emails, Parent or guardian, Online",,4,No,5,Yes,3,Yes,Yes,"I hope to still be in high school, be taking college courses at Rcc, and have a part time job at Baskin Robins ",5,Maybe,,I think about what could be their story and how they ended up with no home. ,1,Yes,I hope to gain experience and see if it’s something I want to pursue,Computer Science,2,"I think data science is something that requires to collect data and analyze it, and computer science is something that creates things using computers.",1,5,3 to 4 hours,3 to 4 hours,1,1,,,5,5,5,5,5,Hispanic or Latinx,Riverside ,1,2,Yes,,1,1,,,
15,Male,Martin Luther King Jr. High,11th grade,Pre-calculus,None,3,2,3,4,4,5,4,4,4,3,5,4,4,5,"Parent or guardian, Online, Social Media",,3,No,2,Yes,3,Yes,Yes,Still studying in high school.,4,Maybe,The conditions of peoples' place of living and work.,People living in tents on the streets or by the freeway and people living in the homeless shelters.,1,No,Yes,,1,"Computer science only focuses on the computer aspect such as coding and html, but data science also focuses on the math concepts of coumputers.",3,4,2 to 3 hours,3 to 4 hours,2,2,,,4,4,4,4,4,Asian,Riverside,1,1,Yes,No,2,2,,,
16,Prefer not to say,Polytechnic High school ,11th grade,Pre-calculus,Scratch (or other visual language),4,4,5,4,4,4,5,5,5,5,4,4,1,2,Riverside Unified advertisement emails,,4,Not sure,4,Yes,4,Yes,Yes,Still in high school with a part time job. ,4,Yes,"I think of how poverty could affect someones health, what foods they can afford or opportunities to exercise. ",People who have mental illnesses that make it more difficult to find jobs. Also families who’ve lost their jobs and cant afford rent anymore. ,2,Maybe,Learning a subject that my school has not gone into much depth about and seeing if I would be interested in majoring in it.  ,Biology,2,"Computer science has to do with how computers work and are programmed while data science has to do with math, statistics and calculus.  ",3,5,2 to 3 hours,More than 5 hours,1,4,,,2,2,5,2,2,"Native American or Alaskan Native, White or Caucasian",Riverside,1,2,Yes,Not at the moment. ,4,5,,,
15,Male,Ruben S. Ayala High School ,10th grade,"Some coding (computer programming), Basic SQL ","Python, C/C++, SQL, Scratch (or other visual language)",4,2,3,2,4,4,4,3,3,3,2,3,4,5,Parent or guardian,,1,No,1,Yes,2,No,Not sure,I will be entering my 11th grade in High School.,2,Yes,Not sure what a social determinant of health is.,Food shelters and community-operated lodging for people to stay.,1,Yes,"Learning more about what Data Science is, and how it works and applies to the real world. ",Computer Science,2,"I am not sure what Data Science is about, or what it has to offer.",1,2,2 to 3 hours,1 to 2 hours,2,2,,,3,5,2,4,3,Indian American ,Chino Hills,2,3,Not sure,"I am currently enrolled in another class at CSUSB, and will have to leave early every Monday, at 10:30 AM. Will the Zoom session be recorded so I can review the 30 minutes that I miss? ",1,1,,,
15,Male,Temple City High School,10th grade,,Python,4,2,3,4,5,4,4,5,4,4,2,4,4,4,"Parent or guardian, Classmate or Friend",,3,No,2,Yes,3,No,Not sure,In one year I'm going to be a sophomore who has a good understanding of coding. ,4,Yes,I'm not sure. ,I believe that some people aren't as fortunate and didn't get the opportunity of good education or a healthy environment.  I do lots of volunteering services to help homeless every week.,2,Yes,"To get a better understanding of coding, computer science, and data analysis. I am considering becoming a software engineer as a future career and believe this course will help me get closer to my goals. ",Computer Science,1,Data science is more related to math and analyzing while computer science is related to computers. ,1,4,3 to 4 hours,1 to 2 hours,1,2,,,4,5,5,5,4,Asian,Temple City,,2,Not sure,,1,3,,,
12,Male,Miller Middle School,7th grade,,,4,4,5,4,5,5,3,4,4,3,3,3,5,5,Riverside Unified advertisement emails,,4,No,1,Yes,4,Yes,Not sure,In middle school.,4,Maybe,I don't know.,I haven't thought about it.,1,Maybe,Yes,Computer Science,1,I don't know.,1,4,3 to 4 hours,less than 1 hour,1,1,,,5,5,4,5,5,"Hispanic or Latinx, White or Caucasian",Riverside,1,1,Yes,No,1,1,,,
12,Male,Summit Intermediate,8th grade,"Other advanced math (Linear Algebra, Differential Equations, Combinatorics)",Scratch (or other visual language),4,5,5,5,5,5,3,4,4,5,5,5,5,5,Parent or guardian,,5,Not sure,3,Yes,5,Yes,Not sure,I don't know yet,4,Maybe,Medical Centers,People that lost their jobs because of covid,1,Maybe,To learn data science,Enginering ,4,Not Much Different,4,5,More than 5 hours,less than 1 hour,3,5,,,5,5,5,5,5,Black or African American,Rancho Cucomonga ,2,2,Not sure,Nope,1,1,,,
14,Female,Rancho Cucamonga High School,10th grade,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Parent or guardian,,5,No,1,Yes,5,No,Yes,Still in HS,3,Yes,,Poverty,1,Yes,I look forward to gaining experience in data science. ,I don't know.,1,"Data science is the study of data, but computer science deals with computing. ",1,5,2 to 3 hours,less than 1 hour,1,2,,,5,5,5,5,5,Black or African American,Ranch Cucamonga,1,1,Yes,,1,3,,,
15,Female,Ruben S. Ayala High School,11th grade,Pre-calculus,No experience,4,5,5,3,5,4,3,5,4,4,5,4,4,5,Parent or guardian,,3,No,2,Yes,3,No,Not sure,I see myself doing a lot of volunteer ships and working on understanding my classes for the next school year.,3,Maybe,The things that make up someones healthy lifestyle.,Poverty and poor health.,1,No,I would like to get a brief overview on how the entire process of data science would look like.,Computer Science,1,"Computer science focus on computers, while Data science focus on math concepts.",1,4,3 to 4 hours,1 to 2 hours,1,1,,,4,5,5,5,5,South Indian,Chino Hills,1,1,Yes,,2,2,,,
15,Male,Summit High School,10th grade,Some web development (HTML/CSS),,5,5,5,5,5,5,4,5,5,5,5,5,5,5,Parent or guardian,,5,No,1,Yes,3,No,Yes,"Still in High School, doing extra summer classes to get ahead of my classmates and get out early.",5,Yes,"Health, financial issues, environment",People with no homes,1,Maybe,enhanced learning about how to use data,Computer Science,3,I think computer science focuses more on the programming of the computer while data science is more on numbers.,1,5,2 to 3 hours,1 to 2 hours,3,2,,,5,5,5,5,5,Asian,Fontana,3,3,Yes,None,2,3,,,
12,Female,Allegiance STEAM Academy ,8th grade,Some coding (computer programming),"Python, JavaScript",5,5,5,5,5,5,4,5,5,5,5,5,4,5,Social Media,,4,No,1,Yes,4,Yes,Not sure,I will go to highschool.,3,Yes,Don't know,Not applicable ,1,Maybe,I am interested to learn about it.,I don't know yet,2,Don't know,1,5,More than 5 hours,2 to 3 hours,2,2,,,5,5,5,5,5,Asian,Chino,1,2,Not sure,No,1,1,,,
13,Male,King high school,9th grade,"Some coding (computer programming), Pre-calculus, Calculus (any level)","Python, JavaScript, Scratch (or other visual language)",4,4,3,5,5,5,4,3,4,4,5,5,5,5,"Parent or guardian, Online, Social Media",,2,No,5,Yes,4,Yes,Yes,I’m am having all a’s and my family is happy,3,Yes,Unhealthy foods,People who are unfortunate of have made a bad choices or many choices in life.,2,Maybe,Everything,Mathmatics for teacher maybe,4,I do not know,1,3,1 to 2 hours,less than 1 hour,2,1,,,5,5,3,5,5,Asian,riverside,1,2,Yes,N/A,2,5,,,
13,Female,March middle school,9th grade,None,None,4,5,5,4,5,5,5,5,5,5,5,5,5,5,Parent or guardian,,3,No,3,Yes,4,No,Yes,"In High school, maybe doing a sport and being very involved in Extracurricular activities ",3,Yes,My mental health ,Poor and living on the streets ,2,Maybe,Learning more about the topic. ,Computer Science,1,"Computer science is focusing on Computers only,  Data science is focusing on mathematics. ",1,5,2 to 3 hours,less than 1 hour,1,5,,,5,5,5,5,5,Hispanic or Latinx,Moreno Valley ,1,1,Yes,Not at the moment,3,3,,,
17,Male,Loma Linda Academy,12th grade,"Some coding (computer programming), Some web development (HTML/CSS), Statistics, Data Analytics, Pre-calculus, Calculus (any level), Other advanced math (Linear Algebra, Differential Equations, Combinatorics)",Python,3,5,3,5,5,5,4,5,5,4,5,4,4,4,Social Media,,5,Yes,4,Yes,4,No,Yes,"In one year from now, I imagine myself getting accepted in a school in the East Coast such as Massachusetts Institution of Technology, investing money paid from my summer job in probably in a McDonald's restaurant, and then packing my valuable belongings to migrate to a dorm in the campus.",5,Yes,I think of social determinants of health as the factors of how to have a well-rounded healthy life.,"I think of homelessness as a person who goes bankrupt in his business or a financial loss in his/her life, and thus who is living in the a corner of an urban building.",3,Yes,"In the Academy, I look forward to be confident of calculation in statistics formula from a data collected in an algorithm or in any events, as well as in probability, physics, calculus, and algebra; in math and science, overall!",Math Major,3,"I think the difference between Data Science and Computer Science is that Data science emphasizes statistics to use algorithm properly with algorithm throughout the internet, whereas the Computer Science covers both data science and the engineering part of the computer such as coding, mathematics, and science.",3,5,More than 5 hours,less than 1 hour,3,1,,,4,5,5,5,5,Asian,Loma Linda City,1,3,Yes,I expect more of coding and website-making activities than math lectures in this program.,4,3,,,
13,Male,Cope Middle School ,9th grade,,"Python, Scratch (or other visual language)",5,4,4,5,5,5,4,4,5,5,3,4,2,5,RUSD advertisement emails,,2,No,2,Yes,2,Yes,Not sure,Still in high school without a job. I want to do extremely good in high school so I can get into a good college.,3,Yes,"I think of medical accessibility, mental health, economic placement, and physical health.","Homelessness is an ever-growing problem that needs to be stopped. However, since so many people are in homelessness because of drugs and bad decisions, we should give them opportunities to improve, and if they take that opportunity over drugs, then they should be rehabilitated.",3,Yes,I look forward to improving my analytical skills and learning more about data science.,Technological/Mechanical Engineering,1,Data science is study of data while computer science is more of a technological study involving both hardware and software.,1,4,More than 5 hours,3 to 4 hours,1,4,,,5,5,5,5,5,Asian,Redlands,1,1,Not sure,,2,2,,,
13,Male,Cope Middle School,9th grade,,"Python, Scratch (or other visual language)",5,5,4,5,5,5,5,5,5,5,3,4,2,5,Redlands Unified advertisement emails,,2,No,2,Yes,3,Yes,Not sure,I will be in 9th grade and studying for college.,3,Yes,"Medical accessibility, economic position, wage, and physical health","Homelessness is a growing problem that needs to be stopped. When I think of homelessness, I think of rows of tents on the ground, under bridges, and by the road. ",3,Yes,"I look forward to learning more about data science, and also to improve my understanding of data science.",mechanical/technical engineering,2,Data science is study of data and statistics while computer science is study of hardware and software.,1,4,4 to 5 hours,3 to 4 hours,1,3,,,5,5,4,5,5,Asian,Redlands,1,2,Not sure,,2,2,,,
16,Female,Valley View High School,12th grade,"Some coding (computer programming), Some web development (HTML/CSS), Pre-calculus, Calculus (any level), Other advanced math (Linear Algebra, Differential Equations, Combinatorics)","Python, Java, C/C++, JavaScript, SQL, Scratch (or other visual language)",5,4,3,4,5,4,3,4,4,3,4,3,4,3,Classroom or Teacher or Principal,,3,No,,Yes,4,Yes,Yes,in college + hopefully interning,3,Yes,"how our social lives can affect our health; for example, the people that surround us. ",unhomed people who may or may not struggle throughout the day,2,Yes,learning more career choices!,Computer Science,4,"i believe data science is the study and performance of statistics, whether that's the engagement of the platform. for example, gaining more of an audience on social media platform at a certain time (and who liked / viewed it). computer science, itself, is creating the platform that data scientists collect data off of. ",3,4,4 to 5 hours,3 to 4 hours,5,5,,,5,5,4,5,5,Asian,Moreno Valley,5,5,Yes,,2,2,,,
15,Female,San Pedro High School,10th grade,,JavaScript,3,3,4,3,4,4,4,4,4,3,3,4,2,2,Classroom or Teacher or Principal,,3,Yes,4,Not sure,3,No,Not sure,I will still be in high school but I would imagine myself learning more about computer science and joining clubs or sports.,4,Maybe,When I think of social determinants of health I think about someone’s social and health life and how stable it is.,I think people on the street no money and some are trying to get back and some aren’t.,2,Maybe,I look forward to learning about coding but also about other stuff like the different programs.,Computer Science,1,I think the difference between Data Science and Computer Science is that computer science is more based on the computer part of it and data is looking at the math concepts like calculus or other stuff like that.,1,4,4 to 5 hours,2 to 3 hours,1,1,,,4,4,5,4,4,Hispanic or Latinx,San Pedro,1,2,Not sure,,2,2,,,
13,Female,Barstow Junior High School,9th grade,,,4,5,5,4,5,5,3,5,5,3,4,4,5,5,Classroom or Teacher or Principal,,4,Not sure,3,Yes,3,No,Not sure,"I see myself still in college, entering my second year, possibly getting a part-time job (not sure where or what job)",5,Yes,"I think of how education, finances, housing, food, and people can affect your health.","I think of someone not having a home, living on the streets, and struggling to get money for daily essentials to survive.",1,Maybe,I look forward to learning and hopefully understanding the science because I have always struggled a bit with understanding it.,Nursing (Medicine),1,"I think Computer Science mainly focuses on computers, while Data Science has a more general focus and is mainly about mathematical understanding.",1,4,More than 5 hours,2 to 3 hours,1,2,,,5,5,5,5,5,Hispanic or Latinx,Barstow,1,1,Not sure,,1,2,,,
14,Male,Ayala High School,9th grade,No experience,No Experience,4,5,4,5,5,4,3,5,4,3,5,4,4,4,Parent or guardian,,4,No,1,Yes,4,No,Not sure,still in HS,3,Maybe,"Your social life, getting along with others, etc.",Not having a home or much money,1,Maybe,Learning more in all subjects,Not sure yet,2,I don't know,3,4,2 to 3 hours,less than 1 hour,2,2,,,5,5,5,5,5,Indian,Chino Hills,1,3,Not sure,"
No",3,1,,,
16,Female,Early College Academy ,11th grade,None,None,4,5,3,4,5,4,4,5,3,4,5,3,4,5,Classroom or Teacher or Principal,,1,No,1,Yes,2,No,Not sure,In one year I would still be in high school. ,5,Yes,I think of factors that contribute to someone's to health,I think about the tents and shelters.,1,Yes,I look forward to learning new things. ,Computer Science,1,"I think the difference is that Data Science is more of analyzing large amounts of data, computer science is more of improving technology. ",1,5,1 to 2 hours,2 to 3 hours,1,1,,,5,5,5,5,5,Hispanic or Latinx,Los Angeles,1,1,Not sure,,1,1,,,
